name,type,rating,count,address,comment
MeTrang Coffee - 1A Công Trường Mê Linh,·  · Quán cà phê,"4,5",-580,1a Công trường Mê Linh,Những món ăn và thức uống đẹp mắt cũng ngon miệng.
The Running Bean Mạc Thị Bưởi - Coffee and Brunch,·  · Quán cà phê,"4,7","(2,4 N)",33 Mạc Thị Bưởi,"Không gian đẹp, đồ ăn và coffee ngon, nhân viên nhiệt tình"
Tiên Lãng Coffee CS3 - Cà Phê Điếu Cày - Thuốc lào Quận 1,·  · Quán cà phê,"5,0",-507,196 Võ Văn Kiệt,"view đẹp, nhân viên nhiệt tình, menu hợp lí,  rất tuyệt"
Cà phê trứng 3T - Garden Saigon,·  · Quán cà phê,"4,3",-630,5 Trần Khánh Dư,"Chỗ ngồi tương đối đẹp,  chứng ko được xuất sắc như comment."
GÓC cà phê ☕️,·  · Quán cà phê,"3,7",-442,50 Nguyễn Thái Bình,Quán 7/10- nhân viên 7/10 .. không gian thoát mát … đồ uống 8/10
Mockingbird Cafe,·  · Quán cà phê,"4,3",-579,"#4-04, 14, Đường Tôn Thất Đạm","View Ngân hàng Nhà nước ổn áp, decor đẹp, bạn nhân viên vui vẻ."
K COFFEE Nguyễn Thái Bình,·  · Quán cà phê,"4,5",-243,158 Nguyễn Thái Bình,"Nhân viên cần tập trung, tỉnh táo hơn vì đang làm tiệm  😅"
Rang Rang Coffee - Hai Bà Trưng,·  · Quán cà phê,"4,2",-631,74 Hai Bà Trưng,Trong menu có món Doppio espresso 60k nhưng gọi solo espresso cũng 60k!
View Đẹp,· Quán cà phê,"4,7",-6,159 Phạm Ngũ Lão,"""thoáng mát, sạch đẹp
nhân viên nhiệt tình
Giá ok"""
Dạo Cà Phê - NTMK,·  · Quán cà phê,"4,9",-81,32B Nguyễn Thị Minh Khai,Cà phê ngon và mạnh nhưng không có chỗ ngồi để chill.
Dinh Độc Lập Cafe - 106 Nguyễn Du,·  · Quán cà phê,"4,2",-161,106 Nguyễn Du,"Quán khá đẹp,  khá ngon nhưng giá cũng tương đối cao."
1991 Rooftop Coffee & More,·  · Quán cà phê,"4,7",-122,37/4 Đinh Công Tráng,"View đẹp, nước ngon, nhân viên nhiệt tình, nên trải nghiệm, keo nha mom"
This & That Coffee and Tea,·  · Quán cà phê,"4,2",-303,59 Phạm Viết Chánh,"Bánh crepe tiramisu, phô mai, trà xanh ngon: 65k/slide khá lớn."
OKKIO Caffe - Lê Lợi (2nd floor),·  · Quán cà phê,"4,6","(1,2 N)",120 - 122 Lê Lợi,☕️ Đồ uống tạm được: Mình thích bạc xĩu nhưng không thích banana latte.
Cà phê Cô Ba Đồng Khởi,·  · Quán cà phê,"4,3","(1,5 N)",4-6 Đồng Khởi,"Nước ổn, bánh crepe đào ngon, view đẹp, gía hơi nhĩn 1 hơn chút."
Bâng Khuâng Café,·  · Quán cà phê,"4,3",-627,"2nd floor, 9 Thái Văn Lung",Quán cũng có khách nước ngoài đến chứng tỏ quán cũng được tìm kiếm.
Cà Phê Cô Ba Thì,·  · Quán cà phê,"4,3",-63,30 Tôn Thất Tùng,"View quá đẹp, không gian nhộn nhịp & dễ thương, menu độc & lạ."
Cheese Coffee - Công Trường Lam Sơn,·  · Quán cà phê,"4,4",-350,9 Công trường Lam Sơn,""" ngon
Nhân viên nhiệt tình
Không gian nhỏ nhỏ xinh xinh"""
CAFE NGƯỜI SÀI GÒN,·  · Quán cà phê,"4,4",-302,9 Thái Văn Lung,"Đồ uống ngon, nhân viên ổn, không gian yên tĩnh."
Things Livingroom,·  · Quán cà phê,"4,5",-346,"chung cư, 14 Tôn Thất Đạm",Nếu muốn kiếm nơi yên tĩnh đọc sách nghỉ ngơi thì tới đây nhé.
K COFFEE Hai Bà Trưng,·  · Quán cà phê,"4,7",-288,135 Hai Bà Trưng,"thức uống ngon, view đẹp, không gian lí tưởng để check in"
11:11 cafe,·  · Quán cà phê,"3,9",-145,144/7 Pasteur,"""Mình ăn brownie với loại bánh đen đen gì đấy đều ngon
Capu k ngon."""
The August coffee and poshtel,· Quán cà phê,"4,3",-224,59/11 Phạm Viết Chánh,"Đẹp, yên tĩnh, nhiều góc sống ảo, nhiều nước uống nhiều nhìn dễ thương"
Cà Phê Trứng 3T,·  · Quán cà phê,"4,0","(1,1 N)",2B Ngô Văn Năm,Một trong những quán  ngon và đẹp ở Sài Gòn đáng để trải nghiệm.
The 15 Minutes Coffee & Tea,·  · Quán cà phê,"4,7",-71,1-1a Tôn Đức Thắng,"Rất thích không gian này, vừa  đẹp nhưng rất yên tĩnh."
Phiếm Rooftop,·  · Quán cà phê,"4,8",-24,97 Đặng Dung,"10 điểm cho ts, 10 điểm đồ ăn 10 điểm cho cái vibe ở đó luôn"
Cafe Tèo premium - Quận 1,·  · Quán cà phê,"4,1",-553,266 Trần Hưng Đạo,""" sữa: 35k
Trà vải: 55k
Chất lượng thì cũng tương tự những quán khác."""
P - Garden,· Nhà hàng,"4,3",-878,4 Phạm Ngũ Lão,"Chill chill, nhân viên nhiệt tình, không gian buổi sáng khá mát mẻ"
JUICETIN,·  · Quán cà phê,"4,8","(1,4 N)",4B1 Ngô Văn Năm,"""View quán đẹp ngồi chill
Nhân viên nhiệt tình
Nước uống ngon 🥰"""
The Workshop Coffee,·  · Quán cà phê,"4,5","(3,8 N)",27 Ngô Đức Kế,"""Trên tầng 2 Workshop

Nice view
Breakfast
Cake&Coffee
Music&Enjoydeepmood"""
The Plant Coffee,·  · Quán cà phê,"3,7",-164,128A Nguyễn Cư Trinh,Mọi thứ đều ổn
HALA Coffee - Phạm Ngọc Thạch,·  · Quán cà phê,"4,9",-124,04A Phạm Ngọc Thạch,"Nước uống ngon, nhân viên nhiệt tình, thân thiện"
CHUA Juice & Dessert Bar,·  · Quán cà phê,"4,6",-153,113 Nguyễn Huệ,mình vừa uống vừa tận hưởng ko khí nhìn ra phố đi bộ lun.
Phê La - Hồ Tùng Mậu,·  · Quán cà phê,"4,0","(1,7 N)",125 Hồ Tùng Mậu,"Menu khá đa dạng,  nấm truffle khá lạ nhưng có vẻ ko ngon lắm."
3T Cà Phê Trứng,·  · Quán cà phê,"4,3","(1,6 N)",1A Tôn Đức Thắng,"Decor đẹp, sang trọng kiểu vintage, nước ngon, xôi ngon, không gian tốt."
The Coffee House - Nguyễn Thái Bình,·  · Quán cà phê,"4,2","(2,1 N)",141 Nguyễn Thái Bình,Không gian thì cũng tương đối tốt cho các cuộc hẹn gặp bàn công việc.
Cokernut Cafe,·  · Quán cà phê,"4,8",-323,14 Đ. Trần Nhật Duật,"Nước ngon 🥰 trà, , trà sữa, matcha đều chất lượng, nên thử hết."
mochi mochi club de paris,·  · Quán cà phê,"4,7",-89,26 Lý Tự Trọng,"nước uống hơi bị ngon lun, quá decor đẹp ;)"
Cà Phê Du Thuyền Sài Gòn,·  · Quán cà phê,"4,1",-133,1 Hoàng Sa,View thoáng đãng thư giãn sau khi làm việc trong văn phòng .
Mít Rooftop Bistro,· Quán ăn nhỏ,"4,7",-443,"sân thượng, 37 Đồng Khởi","Không gian thoáng , màu sắc tươi mảt ,  cực chill,."
Cộng Cà Phê,·  · Quán cà phê,"4,4",-843,136 Sương Nguyệt Anh," uống cũng được, được nhất là view ngồi nói chuyện."
Cà phê Sài Gòn Ơi,·  · Quán cà phê,"4,1",-706,42 Nguyễn Huệ,"Quán xinh, nước uống ổn, view đẹp nhìn toàn  PĐB Nguyễn Huệ."
Cafe Đen Đá,·  · Quán cà phê,"3,9","(2,1 N)",182 Pasteur,", bánh ngọt, hay không gian đều tuyệt."
Góc 169 KC Coffee,·  · Quán cà phê,"4,5",-212,169 Ký Con,"Góc đẹp, nhìn có vẻ cổ nhưng thức uống chưa ngon lắm"
Cipherz Rooftop,·  · Quán cà phê,"4,4",-357,379 Hoàng Sa,"Nhạc hay, barmen thân thiện, không gian tuy nhỏ nhưng đẹp"
Highlands Coffee – Nguyễn Trãi,·  · Quán cà phê,"4,2","(1,1 N)",210 Nguyễn Trãi, bạc sỉu nóng size  vừa 45000
Lão Hạc Quán,·  · Quán cà phê,"4,3",-935,299B Hoàng Sa,"Vibe cổ, tông màu ấm, decor ổn, view  rất thoải mái."
Ciao Cafe,·  · Quán cà phê,"4,2",(1 N),74 Nguyễn Huệ,"Quán đẹp, nhân viên nhiệt tình, đồ ăn cũng ngonn"
Olalaco Coffee & Cocktail Bar,·  · Quán bar cocktail,"5,0",-47,160 Bis Đ. Cống Quỳnh,"View đẹp, thức uống ngon, nhân viên thân thiện, dễ thương"
Chiêu Cafe Sách,·  · Quán cà phê,"4,0",(1 N),377 Hoàng Sa," ngon, không gian yên tĩnh...nhiều sách hay nên đọc🙂👍"
Pine Hill Coffee | Cà phê ngon quận 1 | Cà phê ngon Võ Văn Kiệt,·  · Quán cà phê,"3,9",-67,496 Võ Văn Kiệt,"Nhân viên ít nhưng cũng khá vui vẻ, nhiệt tình và chiều khách."
Đẹp Café,·  · Quán cà phê,"4,1",-145,"Bưu điện, Trung Tâm, 3 Đ. Nguyễn Văn Bình","Nhân viên cũng nhiệt tình, thân thiện, mình sẽ ghé lại!"
% Arabica,·  · Quán cà phê,"4,2","(3,5 N)",42 Nguyễn Huệ,"Nhân viên nhiệt tình, thân thiện, menu có nước chanh cho trẻ em dễ uống."
Katinat Saigon Cafe,·  · Quán cà phê,"3,5",-621,36 Nguyễn Thị Nghĩa," ngon, view đẹp, nhiều gái xinh"
KOI Café Pasteur,·  · Quán cà phê,"4,5",-187,"Tầng 1, 51, Đ. Tôn Thất Thiệp/120 Pasteur","Không gian đẹp , rộng rãi ,  ngon , nhân viên nhiệt tình"
Memento Saigon,·  · Quán cà phê,"4,9",-189,14 Tôn Thất Đạm,"Toàn bộ không gian yên tĩnh, có khách chụp ảnh nhưng không gây ồn ào."
Dida cafe,·  · Quán cà phê,"4,8",-54,25BIS Nguyễn Bỉnh Khiêm,"""Menu đa dạng, phục vụ nhiệt tình 👌🏻
Mình thích nhất món đá xay caramel"""
SOKO Cake Bake & Brunch - Hồ Tùng Mậu,· Bữa nửa buổi,"4,8","(5,6 N)",24 Hồ Tùng Mậu,"View đẹp, menu đa dạng, đồ ăn nước uống ngon"
Nostalgia Tea & Coffee | COFFEE VIEW ĐẸP QUẬN 1 | TRÀ SỮA QUẬN 1,· Quán cà phê,"5,0",-7,83 Thạch Thị Thanh,Quán sang trọng đồ ăn ngon
82 Cafe & Food,·  · Quán cà phê,"4,0",-305,82 Lê Thị Hồng Gấm,nhân viên thân thiện đồ ăn ngon view đẹp
Katinat Saigon Kafe,·  · Quán cà phê,"3,9",(2 N),91 Đồng Khởi,"quán sạch, view đẹp, nước uống ngon, nhân viện nhiệt tình."
GUTA CAFE,·  · Quán cà phê,"4,3",-57,19 Mạc Đĩnh Chi,"Quán thoáng mát,  uống cũng tạm được, gửi xe phía trước quán."
eleven: eleven,·  · Quán cà phê,"4,1",-129,46 Lê Lợi,Menu giá cao nhưng chấp nhận được vì là quá tại q1.
Sena Botanic - Rooftop Coffee,·  · Quán cà phê,"4,3",-337,2/42 Cao Thắng,"Quán mở nhạc hay, ngồi chill chill  luôn."
Thức Coffee - OPEN 24/7,·  · Quán cà phê,"4,1","(1,5 N)",40D Lý Tự Trọng,"Nhân viên thân thiện, chất lượng thức uống tốt, không gian thoải mái"
Passio Coffee 03 Tôn Đức Thắng,·  · Quán cà phê,"4,0",-82,3 Tôn Đức Thắng,Cũng okay để ngồi vào tầm sáng sớm 7am-9am trước khi nắng nóng.
Highlands Coffee Lê Duẩn,·  · Quán cà phê,"4,0",-852,2B Lê Duẩn,"View đẹp, mát, nước uống ngon"
THE WISELANDS Coffee,·  · Quán cà phê,"4,5","(1,6 N)",216 Điện Biên Phủ,"Nước ngon, quán đẹp và yên tĩnh, nhân viên thân thiện."
Cafe Tí Nị,·  · Quán cà phê,"3,8",-183,5A Nguyễn Đình Chiểu,"""Có thêm bạn mèo hoang mặt khá hài kk
Quán nhà 2 chú nhiệt tình dể thương."""
Miyama – Nhà hàng & Cà phê Tokyo Hiện đại,·  · Nhà hàng món tây kiểu Nhật,"4,7","(1,6 N)","Saigon Center, 65 Lê Lợi",Quán có view cửa sổ đẹp cho khách .
Passio Coffee to go (CN 53 Nguyễn Du).,·  · Quán cà phê,"4,0",-425,53 Nguyễn Du,nước ngon mà quán tiết kiệm điện hay sao mà trưa không bật máy lạnh🥲
Touch Saigon Cafe,·  · Quán cà phê,"4,2",-206,382 Nguyễn Thị Minh Khai,"Ngoài  sữa, quán cũng có nhiều món nước khác được trình bày đẹp mắt."
RuNam d'Or,·  · Quán cà phê,"4,4",(2 N),3 Công trường Công xã Paris,"View sang trọng, nhân viên chu đáo, xứng đáng với giá tiền."
Katinat Ngô Văn Năm (Nguyễn Siêu),·  · Quán cà phê,"3,7",-518,"4B/2, Ngô Văn Năm","""Không gian đẹp nhất trước h mình đi uống
Giống như châu âu ghê"""
L'Usine,·  · Nhà hàng,"4,6","(2,8 N)",19 Lê Thánh Tôn,"Menu nhiều món đa dạng, vừa vị, decor đẹp mắt."
Buihaus Coffee and Workshop,·  · Quán cà phê,"4,2",-112,42 Nguyễn Huệ,Không gian nhỏ.
KATINAT BẾN BẠCH ĐẰNG,·  · Quán cà phê,"3,6","(1,2 N)",10B Tôn Đức Thắng,"View đẹp, vừa uống vừa ."
Cà Phê Bệt,·  · Quán cà phê,"4,2",-43,1 Công trường Công xã Paris," 20.000vnd/1 ly, có nhiều loại đồ uống lắm."
The Vintage Emporium Da Kao,·  · Quán cà phê,"4,4","(1,3 N)",95 Nguyễn Văn Thủ,"Không gian quán đẹp, yên tĩnh, nước uống ngon."
Cà Phê Muối Chú Long,·  · Quán cà phê,"3,4",-258,68 Nguyễn Huệ,"Ra phố đi bộ là ghé mua ly  Chú Long, Sài Gòn mà giá 20k ngon, rẻ !"
Katinat Saigon Kafe - Nguyen Du,·  · Quán cà phê,"4,0",-303,59b Nguyễn Du,"nước uống ngon, quán decor đẹp, nhân viên dễ thương lắm ạ"
Starbucks The Waterfront Saigon​,·  · Quán cà phê,"4,8",-645,1-1a Tôn Đức Thắng,Buổi tối view đẹp hơn khi cầu Ba Son được chiếu sáng nghệ thuật.
The Letter Cafe,·  · Quán cà phê,"3,0",-166,42 Nguyễn Huệ,Giá và chất lượng phù hợp với view đắc địa quận trung tâm
KAFA Café,·  · Quán cà phê,"3,9",-220,94 Nguyễn Thị Minh Khai,"Menu mới đổi ngon, takecare khách hàng, nhân viên dễ thương thân thiện😘"
Highlands Coffee,·  · Quán cà phê,"4,3",-718,114 Nam Kỳ Khởi Nghĩa,"- Ngồi bên ngoài cạnh bảo tàng  bonsai , hồ cá koi rất đẹp ."
Cafe Bờ Kè nóc hầm Thủ Thiêm,·  · Quán cà phê,"4,2",-224,"QPC5+6WJ, Bờ Kè",Nơi  nhìn thành phố về đêm bao đẹp thư thả những ngày căng thẳng.
KATINAT Hàm Nghi,·  · Quán cà phê,"4,0",-617,120 Hàm Nghi,Bãi để xe cũng khá nhỏ dễ hết chỗ nên qua Bitexco để hoặc chỗ gần đó.
Quảng trường phố đi bộ Nguyễn Huệ,· Điểm thu hút khách du lịch,"4,4","(3,2 N)",Nguyễn Huệ,"Vui nhộn nhịp nhiều  đẹp , người cũng xinh lắm à nha!"
Cafe Suối Đá,·  · Quán cà phê,"3,9","(2,2 N)",175 Nam Kỳ Khởi Nghĩa,"Không gian cũng chill, menu nhiều món nhưng design hơi sến quê."
Phúc Long Coffee & Tea - Nowzone Nguyễn Văn Cừ,·  · Quán cà phê,"4,1","(1,9 N)",235 Nguyễn Văn Cừ," ngon nên với giá khá khá cao, vẫn chấp nhận được!"
Saigon Skydeck,· Điểm thu hút khách du lịch,"4,4",(12 N),36 Hồ Tùng Mậu,Lên đây  trung tâm thành phố đẹp xuất sắc luôn.
Phúc Long Coffee & Tea Express,·  · Quán cà phê,"4,0","(2,2 N)",159 Nguyễn Thái Học,"Mình đi tầm 10h sáng, lượng khách vừa phải, bàn ghế còn nhiều chỗ trống."
Trên Tầng Thượng,·  · Quán cà phê,"4,6","(2,6 N)",540/17 Cách Mạng Tháng Tám,"Quán view đẹp, đồ uống ngon, giá hợp lí so với view, nên trải nghiệm"
Phúc Long Coffee & Tea,·  · Quán cà phê,"4,1","(1,7 N)",26 Huỳnh Thúc Kháng,"Chất lượng trà sữa vẫn giữ hương vị đậm đà, ngọt vừa phải và rất dễ uống."
The Coffee Bean & Tea Leaf Nguyễn Huệ,·  · Quán cà phê,"4,2",-624,101 Nguyễn Huệ," bình thường, chỉ được view đẹp"
C+ Cafe Cafe and More,· Quán cà phê,"4,4",-192,230 Nguyễn Thị Minh Khai,1 nơi để vừa ăn vừa coffee ngay trung tâm nhưng giá hơi cao.
JUICETIN - Nguyen Du,·  · Quán cà phê,"4,6",-850,53B Nguyễn Du,"Nước ngon, nhân viên thân thiện, chỗ ngồi thoải mái với view đẹp"
Highlands Coffee,·  · Quán cà phê,"3,5",-113,97 Mạc Thị Bưởi, phố đi bộ Nguyễn Huệ rất lý tưởng nhe.
Kerlan Kafe,·  · Quán cà phê,"4,1",-23,"Saigon ward, 20A Đ. Lê Văn Hưu","Quán thường ngồi mỗi ngày, cf ngon anh chủ thân thiện"
CoCo Bubble Tea - Chi nhánh Hồ Tùng Mậu,·  · Quán cà phê,"4,4",-130,Hồ Tùng Mậu,"Vị trí dễ tìm, ngay ngã tư đông đúc, cạnh phố đi bộ Nguyễn Huệ."
Starbucks Waterbus Bach Dang,·  · Quán cà phê,"4,6",-308,10B Tôn Đức Thắng,"Nhân viên thân thiện, món nước ngon và view chiều chill chill đẹp lắm!"
Thế Giới Tàu Hũ,·  · Quán cà phê,"4,2",(1 N),122D Trần Đình Xu,"Ăn thường xuyên, menu đa dạng, quán decor đẹp."
Xanh Mori Cà Phê,· Quán cà phê,"5,0",-8,50 Tôn Thất Đạm,
Phúc Long Coffee & Tea - Saigon Center,·  · Quán cà phê,"2,9",-226,65 Lê Lợi,Mình nghĩ bên PL nên xem lại người đứng quầy ra nước lanh lẹ hơn.
Phuc Long Tea & Coffee,·  · Quán cà phê,"4,1","(1,8 N)",42 Ngô Đức Kế,"Nhân viên chỉ cởi mở với những khách nước ngoài, mặc đồ sang trọng."
Runam Đồng Khởi,· Nhà hàng,"4,3","(1,8 N)",Đồng Khởi,"View cực đẹp, hầu như món tráng miệng hay món nước nào cũng ngon"
The Coffee Plus,·  · Quán cà phê,"4,2",-493,33B Bến Vân Đồn,Nước uống không đa dạng nhưng  đẹp.
Phúc Long Coffee & Tea – Phạm Hồng Thái,·  · Quán cà phê,"4,0","(1,5 N)",42A Phạm Hồng Thái,"Nước ngon, nhân viên thân thiện,có lầu tầng 2 khá thoáng"
The View Rooftop Bar,·  · Nhà hàng,"4,6","(4,4 N)","On the 9th floor of Duc Vuong Hotel, 195 Bùi Viện","Đồ uống ngon, cocktails vị tốt, view siêu đẹp"
Mary Jane’s The Bar,· Quán bar cocktail,"4,8",-62,85 Nguyễn Hữu Cầu,"View đẹp, nước ngon, nhân viên dễ thương"
Starbucks Coffee New World,·  · Quán cà phê,"4,3","(5,6 N)","New World Saigon Hotel, 76 Nguyễn Thị Nghĩa","Trên lầu yên tĩnh hơn, có cửa kính  đường phố đẹp."
Nắng Rooftop Coffee Quận 7,·  · Quán cà phê,"4,7",(1 N),326 Đ. Lê Văn Lương,"Quán đẹp, nhân viên dễ thương nhiệt tình, không gian yên tĩnh, chill"
Phuc Long Coffee & Tea Express,·  · Quán cà phê,"4,1",-943,63 Mạc Thị Bưởi,Buổi sáng cuối tuần ngồi lề đường rất chill
Cafe độc & lạ,·  · Quán cà phê,"4,7",-393,16 Đ. Số 9,"Không gian đẹp, nước ngon,  đậm, chủ quán nhân viên dễ thương, rcm"
Rooftop GRAND Lounge,· Quán bar,"4,2",-69,No 8 Đồng Khởi,Nhìn ra bốn hướng các điểm nhấn chính của Trung tâm Sài gòn.
Sky Garden,·  · Đồ hải sản,"3,8",-849,12D Cách Mạng Tháng Tám,"Thức ăn ngon , tươi chất lượng  view đẹp"
Cà Phê Nghệ Thuật,· Quán cà phê,"4,0",-140,6 Công trường Quốc Tế,Phục vụ rất chu đáo
Banana Mama Rooftop Bar & Kitchen Saigon,· Nhà hàng,"4,8","(1,9 N)","ABC, 102, Đ. Cống Quỳnh","""Greatttt ❤️ good music,
Nhân viên nhiệt tình, đẹp troaiiii
Yo yooo"""
Simple Joy - Tea&Coffee,·  · Quán cà phê,"3,6",-20,12BIS Nguyễn Huệ,"Chủ quán cute, nhân viên nhiệt tình."
Cộng Cà Phê,·  · Quán cà phê,"4,2",-989,08 BIS Công trường Quốc Tế,"View đẹp, nước uống ngon, không gian yên tĩnh."
innominatus speciality coffee,·  · Quán cà phê,"4,8",-63,42 Đ. Tôn Thất Thiệp,"Cà phê Liberica ngon, lạ, uống với sữa 10/10"
Buffet Liberty Central Saigon Riverside,· Nhà hàng,"4,3",-209,17 Tôn Đức Thắng,"Món ăn không nhiều, tương xứng với giá tiền nhưng cũng khá chất lượng."
Cafe Paul 1932,·  · Quán cà phê,"4,2",-100,5/7 Nguyễn Siêu,Menu ở đây đa dạng trà bánh  giá khá ok.nước ở đây làm ngon.
Phúc Long Tea & Coffee - 21-23 Nguyễn Thị Minh Khai,·  · Quán cà phê,"4,1",(2 N),"Somerset Chancellor Court Ho Chi Minh City, L1-01 Somerset Chancellor Court, 21-23 Nguyễn Thị Minh Khai","Anh chị nhân viên rất nhiệt tình bầu không khí sạch sẽ, bánh thì ngon."
Starbucks mPlaza Sài Gòn,·  · Quán cà phê,"4,3","(1,5 N)","mPlaza, 39 Lê Duẩn, Quận 1 Mặt, Hai Bà Trưng","Quán này mình hay ra vào cuối tuần để học, không gian khá chill."
Nut & Bean House 80 Hàm Nghi Q1,·  · Quán cà phê,"4,9",-23,80 Hàm Nghi,Nước ngon pha chế nhanh nhân viên thân thiện nhiệt tình vui vẻ 🥰
Casita Hotel Restaurant,· Quán cà phê,"4,2",-22,131 Bùi Viện,
Starbucks Waterbus Bach Dang,·  · Quán cà phê,"4,6",-308,10B Tôn Đức Thắng,"Nhân viên thân thiện, món nước ngon và view chiều chill chill đẹp lắm!"
Starbucks Coffee New World,·  · Quán cà phê,"4,3","(5,6 N)","New World Saigon Hotel, 76 Nguyễn Thị Nghĩa","Trên lầu yên tĩnh hơn, có cửa kính  đường phố đẹp."
innominatus speciality coffee,·  · Quán cà phê,"4,8",-63,42 Đ. Tôn Thất Thiệp,"Cà phê Liberica ngon, lạ, uống với sữa 10/10"
